name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york city,2024-11-01T00:00:00,72.2,72.2,55.6,55.92,0,0,,0,0,18.6,8.5,227,1014.8,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T01:00:00,72,72,55.6,56.28,0,0,,0,0,21.9,9.3,211,1013.9,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T02:00:00,71.4,71.4,55.3,56.8,0,0,,0,0,22.8,8,232,1013.6,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T03:00:00,71.8,71.8,55.6,56.66,0,0,,0,0,20.8,8,231,1013.4,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T04:00:00,70.1,70.1,55.6,60.03,0,0,,0,0,18.8,10.3,228,1012.8,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T05:00:00,69.4,69.4,55.6,61.48,0,0,,0,0,20.8,8.2,222,1012.7,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T06:00:00,69.4,69.4,55.6,61.48,0,0,,0,0,18.3,12.4,228,1012.9,36.7,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T07:00:00,69.2,69.2,55.6,61.91,0,0,,0,0,18.3,6.8,232,1012.8,34.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T08:00:00,69.4,69.4,55.6,61.48,0,0,,0,0,19.7,5.7,232,1013.2,50.8,9.9,13,0,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T09:00:00,69.4,69.4,56.1,62.73,0,0,,0,0,20.6,7.3,233,1014,65,9.9,35,0.1,0,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T10:00:00,69.4,69.4,55.6,61.48,0,0,,0,0,25.3,15.2,238,1014.3,88.9,9.9,53,0.2,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T11:00:00,70.3,70.3,56.1,60.78,0,0,,0,0,20.6,10,245,1014.1,47.7,9.9,123,0.4,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york city,2024-11-01T12:00:00,72.9,72.9,56.1,55.7,0,0,,0,0,23.7,8.5,248,1014,27.9,9.9,531,1.9,5,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
